Query,Duration(ms),ResultCount,Success,RunType,CommunicationType
inception,3796,252,true,cold,Likely gRPC
interstellar,3623,174,true,cold,Likely gRPC
dark knight,3488,72,true,cold,Likely gRPC
shawshank,3644,9,true,cold,Likely gRPC
matrix,3419,245,true,cold,Likely gRPC
sci-fi,3579,1291,true,cold,Likely gRPC
comedy,4139,30138,true,cold,Likely gRPC
action,843,14779,true,cold,Likely gRPC
spielberg,816,32,true,cold,Likely gRPC
kubrick,744,37,true,cold,Likely gRPC
inception,847,59,true,warm,Likely gRPC
inception,0,59,true,warm,Likely Cache or SharedMemory
inception,0,59,true,warm,Likely Cache or SharedMemory
interstellar,829,31,true,warm,Likely gRPC
interstellar,0,31,true,warm,Likely Cache or SharedMemory
interstellar,0,31,true,warm,Likely Cache or SharedMemory
dark knight,789,10,true,warm,Likely gRPC
dark knight,0,10,true,warm,Likely Cache or SharedMemory
dark knight,0,10,true,warm,Likely Cache or SharedMemory
shawshank,813,3,true,warm,Likely gRPC
shawshank,0,3,true,warm,Likely Cache or SharedMemory
shawshank,0,3,true,warm,Likely Cache or SharedMemory
matrix,773,69,true,warm,Likely gRPC
matrix,0,69,true,warm,Likely Cache or SharedMemory
matrix,0,69,true,warm,Likely Cache or SharedMemory
sci-fi,809,281,true,warm,Likely gRPC
sci-fi,0,281,true,warm,Likely Cache or SharedMemory
sci-fi,0,281,true,warm,Likely Cache or SharedMemory
comedy,802,30138,true,warm,Likely gRPC
comedy,24,30138,true,warm,Likely gRPC
comedy,24,30138,true,warm,Likely gRPC
action,840,14779,true,warm,Likely gRPC
action,12,14779,true,warm,Likely gRPC
action,12,14779,true,warm,Likely gRPC
spielberg,813,32,true,warm,Likely gRPC
spielberg,0,32,true,warm,Likely Cache or SharedMemory
spielberg,0,32,true,warm,Likely Cache or SharedMemory
kubrick,743,37,true,warm,Likely gRPC
kubrick,0,37,true,warm,Likely Cache or SharedMemory
kubrick,0,37,true,warm,Likely Cache or SharedMemory
